2nd Activator, 3rd Activator, 2nd Layer Units, 3rd Layer Units, Train ERROR MSE,Test ERROR MSE,Train ERROR MAE,Test ERROR MAE 
Sigmoid,ExpLin,8,6,0.00217370560269,0.00205375086357,0.0329935546046,0.0326790728763
Sigmoid,ExpLin,8,8,0.00179584906916,0.00175798173825,0.0294436627397,0.0292043653106
Sigmoid,ExpLin,8,10,0.00139872033517,0.00131649893508,0.0251087360538,0.0245716540215
Sigmoid,ExpLin,8,12,0.000982136671526,0.000925525824634,0.0215027526414,0.0210635913934
Tanh,Rectifier,2,4,0.00507752305359,0.00486768490145,0.0503842151801,0.0499084309925
Tanh,Rectifier,2,6,0.00508696169454,0.00488641572687,0.0502177216682,0.0498065004703
Tanh,Rectifier,2,8,0.00490752056644,0.00471490337882,0.0493145528019,0.0488306038526
Tanh,Rectifier,2,10,0.00493285546393,0.00472320880248,0.0495959147132,0.0491458748411
Tanh,Rectifier,2,12,0.00493363199581,0.0047597703392,0.0494840591518,0.0491253271748
Tanh,Rectifier,4,4,0.00362605403472,0.00342148147575,0.0412974236148,0.0410049018756
Tanh,Rectifier,4,6,0.00369321067033,0.00348715706757,0.0422520590479,0.0418121229521
Tanh,Rectifier,4,8,0.00266819988849,0.00252127724074,0.0356885868367,0.0352911572428
Tanh,Rectifier,4,10,0.00263013127946,0.00256682902208,0.035895670493,0.0359041541515
Tanh,Rectifier,4,12,0.00293802566668,0.00273150135039,0.0361824373214,0.0354478558727
Tanh,Rectifier,6,4,0.00707930827746,0.00685913232925,0.0578993241414,0.0573740940473
Tanh,Rectifier,6,6,0.00361827022957,0.0034211663314,0.0411245641222,0.0409226461708
Tanh,Rectifier,6,8,0.00213078404249,0.00202180005663,0.0323121320807,0.0318004535687
Tanh,Rectifier,6,10,0.00190907853516,0.00178912396153,0.0287165138818,0.0281047479663
Tanh,Rectifier,6,12,0.00156821913803,0.00149963639923,0.0275079223489,0.0272786163162
Tanh,Rectifier,8,4,0.00505349258963,0.00485595171233,0.0501039035735,0.049653165307
Tanh,Rectifier,8,6,0.00508705167649,0.00488799584683,0.0497809545226,0.0493664751546
Tanh,Rectifier,8,8,0.00276019347994,0.002694709904,0.0368365474225,0.03663319314
Tanh,Rectifier,8,10,0.00134431774917,0.00125851616643,0.0235461918404,0.0231411211969
Tanh,Rectifier,8,12,0.000909640858257,0.000871238292375,0.019644314155,0.0193580963463
Tanh,Sigmoid,2,4,0.00515189814829,0.00493364567466,0.0508976679255,0.0504098156536
Tanh,Sigmoid,2,6,0.00522015196428,0.00501621604028,0.0501732517976,0.0498063230065
Tanh,Sigmoid,2,8,0.00512200369137,0.00490421639802,0.0509203447838,0.0504208331626
Tanh,Sigmoid,2,10,0.00512502756598,0.00492301590195,0.0500042395609,0.0495792976027
Tanh,Sigmoid,2,12,0.00518050326818,0.00499286760047,0.0507994030183,0.0503057354592
Tanh,Sigmoid,4,4,0.00361904858373,0.00342834981116,0.0419675256396,0.0416415903874
Tanh,Sigmoid,4,6,0.00328072215711,0.00310371877159,0.0399173006635,0.0397829870778
Tanh,Sigmoid,4,8,0.00384206015223,0.00362124737545,0.0433916705161,0.0429633710242
Tanh,Sigmoid,4,10,0.00280873254221,0.0027584941127,0.0383495822103,0.0383803550291
Tanh,Sigmoid,4,12,0.00280001015569,0.00269557310185,0.0370945216365,0.0369983184906
Tanh,Sigmoid,6,4,0.00291096472862,0.00278339102067,0.0384553351729,0.0380645427965
Tanh,Sigmoid,6,6,0.0027412723512,0.00266162938676,0.0369914213497,0.036989904834
Tanh,Sigmoid,6,8,0.00174887809132,0.00170583558938,0.0293892770007,0.0293836090288
Tanh,Sigmoid,6,10,0.00216974097477,0.0020676776781,0.0326443710662,0.0324710917255
Tanh,Sigmoid,6,12,0.00168375895828,0.00158303156208,0.0280216806422,0.0273992518325
Tanh,Sigmoid,8,4,0.00285426125618,0.00267360728853,0.0374696427443,0.0369517340799
Tanh,Sigmoid,8,6,0.00218324529712,0.00209849915853,0.0334911075144,0.0333610179193
Tanh,Sigmoid,8,8,0.00182490215823,0.00178231944396,0.0296987794183,0.0294416235283
Tanh,Sigmoid,8,10,0.0014076851016,0.00131716645558,0.0250799441543,0.024520963296
Tanh,Sigmoid,8,12,0.00108143300334,0.00102820189214,0.0228512178544,0.0224092752003
Tanh,Tanh,2,4,0.00505902263347,0.0048503439156,0.0501157859262,0.0496290792448
Tanh,Tanh,2,6,0.00505794949802,0.00485466659515,0.049959198623,0.0495692230999
Tanh,Tanh,2,8,0.00505800800566,0.00484702411692,0.0502266185053,0.0497040541773
Tanh,Tanh,2,10,0.00505831298891,0.00484945243347,0.0501981774854,0.0497029706831
Tanh,Tanh,2,12,0.00506363784303,0.00485955596175,0.0502308076357,0.0497482010355
Tanh,Tanh,4,4,0.00275677909022,0.00268879715035,0.037028573786,0.0368913283922
Tanh,Tanh,4,6,0.0026731237437,0.00249335616535,0.0355758023139,0.0348280063324
Tanh,Tanh,4,8,0.00274500453766,0.00264633582386,0.0364253810423,0.0362896746441
Tanh,Tanh,4,10,0.00262604785888,0.00253651013799,0.0355643770956,0.0355314400089
Tanh,Tanh,4,12,0.00270871549662,0.00263148402443,0.0366374068849,0.0366073015431
Tanh,Tanh,6,4,0.00265723258696,0.0024938457579,0.035875031574,0.035397249446
Tanh,Tanh,6,6,0.0017445690994,0.00164946606008,0.0271235479521,0.0264712743632
Tanh,Tanh,6,8,0.00142408884126,0.00135085495644,0.0258497456293,0.0252032078749
Tanh,Tanh,6,10,0.00136914834967,0.00126376486483,0.0239736777129,0.0235271953855
Tanh,Tanh,6,12,0.00139564268004,0.0012815515925,0.0240822892062,0.0233402632116
Tanh,Tanh,8,4,0.00262300630869,0.00249929355835,0.0350826024626,0.0348083208951
Tanh,Tanh,8,6,0.00155463076455,0.00147158209956,0.0277683006467,0.0271110804683
Tanh,Tanh,8,8,0.000893561610322,0.000832474921233,0.0199076614307,0.0195232335738
Tanh,Tanh,8,10,0.000561948585324,0.000504580272184,0.0140406222551,0.0136178989872
Tanh,Tanh,8,12,0.000547739544411,0.000495807761562,0.0144433994717,0.0142518304396
Tanh,ExpLin,2,4,0.00506382801326,0.004854512386,0.0502514509401,0.0497444718903
Tanh,ExpLin,2,6,0.00508093255593,0.00487345358531,0.0499680536375,0.0495627678949
Tanh,ExpLin,2,8,0.00501025126618,0.00480503616425,0.0499013150211,0.0494185839423
Tanh,ExpLin,2,10,0.00503623267354,0.00482887359518,0.050132733348,0.0496477232573
Tanh,ExpLin,2,12,0.00501536264312,0.00481941550689,0.0499198157986,0.049420139136
Tanh,ExpLin,4,4,0.00278568873053,0.00271921164807,0.0374937339008,0.0373612415376
Tanh,ExpLin,4,6,0.0026816788094,0.00250583173321,0.0356796962998,0.0349727675887
Tanh,ExpLin,4,8,0.00269787588324,0.00261194375434,0.0360267144658,0.0360479424171
Tanh,ExpLin,4,10,0.0026379273279,0.00254873124503,0.0357582751515,0.0356882137788
Tanh,ExpLin,4,12,0.00263842316419,0.00256048985892,0.0357051866159,0.035743088859
Tanh,ExpLin,6,4,0.00267503848483,0.00252778290583,0.0363254087838,0.0359516421302
Tanh,ExpLin,6,6,0.00154623586807,0.00148919547547,0.0261818775188,0.0257196612302
Tanh,ExpLin,6,8,0.00141526667381,0.00134398538086,0.0256670623913,0.0250162353779
Tanh,ExpLin,6,10,0.00136269556474,0.0012546363971,0.0238473246986,0.0234083003133
Tanh,ExpLin,6,12,0.00143709592124,0.00133352868004,0.0247855239981,0.0239500520314
Tanh,ExpLin,8,4,0.00261741737608,0.00249633015797,0.0350295051745,0.0347500878907
Tanh,ExpLin,8,6,0.0015268663562,0.0014594967256,0.027563000276,0.0269703735614
Tanh,ExpLin,8,8,0.000578917750837,0.000545883003264,0.0165140246215,0.0163914457145
Tanh,ExpLin,8,10,0.000584357348923,0.000526259683673,0.0145934340608,0.0141843461527
Tanh,ExpLin,8,12,0.000546058928084,0.000495759223198,0.0143635250922,0.0141991967455
ExpLin,Rectifier,2,4,0.0050912294296,0.00488062412029,0.0505266196149,0.0500382037948
ExpLin,Rectifier,2,6,0.00511517667314,0.00491283221382,0.0504522572088,0.0500387596361
ExpLin,Rectifier,2,8,0.00499779746169,0.00480502886679,0.0501126848869,0.0496186219376
ExpLin,Rectifier,2,10,0.00491108316945,0.00471573747314,0.0493526683333,0.0489961496233
ExpLin,Rectifier,2,12,0.00490927085654,0.00471238306175,0.0495702371419,0.0489876164899
ExpLin,Rectifier,4,4,0.00297002890848,0.00288599266008,0.0391325637185,0.0388833620367
ExpLin,Rectifier,4,6,0.00363369587774,0.00342471689552,0.0409219728712,0.0406102036483
ExpLin,Rectifier,4,8,0.00267735083833,0.00252493706242,0.0359370468141,0.0354364202285
ExpLin,Rectifier,4,10,0.00257268267235,0.00249734159028,0.035042815456,0.0349241747455
ExpLin,Rectifier,4,12,0.00270476814099,0.00262095237712,0.0368738585424,0.0368796727753
ExpLin,Rectifier,6,4,0.00508508516403,0.00487945226806,0.050352287878,0.0498801093044
ExpLin,Rectifier,6,6,0.00361856610828,0.00341987593418,0.0412092621726,0.0409534752736
ExpLin,Rectifier,6,8,0.00261699303276,0.00252068402915,0.035322149022,0.0352171246716
ExpLin,Rectifier,6,10,0.00203491987781,0.00195076187495,0.0301966757162,0.029751775644
ExpLin,Rectifier,6,12,0.00139316898226,0.00132220416708,0.0242026384032,0.02389816555
ExpLin,Rectifier,8,4,0.00506096290334,0.00485856826968,0.0501174266623,0.049666138387
ExpLin,Rectifier,8,6,0.00508717924967,0.00488787843482,0.0497062747499,0.0492778168024
ExpLin,Rectifier,8,8,0.00269953098039,0.00264470760252,0.0361163606519,0.0360748770281
ExpLin,Rectifier,8,10,0.00135216287653,0.00127114820714,0.0237889098593,0.0233821172935
ExpLin,Rectifier,8,12,0.000965631428831,0.000919802477527,0.0208088717004,0.020467232993
ExpLin,Sigmoid,2,4,0.00513089034565,0.00491707220552,0.0508728032188,0.0503606670526
ExpLin,Sigmoid,2,6,0.00523500491319,0.00502918258786,0.0504715350111,0.0500843204193
ExpLin,Sigmoid,2,8,0.00510990164123,0.00489294101819,0.0508636638012,0.050333818608
ExpLin,Sigmoid,2,10,0.00513732930007,0.00493781742477,0.0498331885162,0.0493936331404
ExpLin,Sigmoid,2,12,0.00516225207309,0.0049746484642,0.05073507374,0.0502600803142
ExpLin,Sigmoid,4,4,0.00366584953432,0.00347383839609,0.0422859430182,0.0419510746928
ExpLin,Sigmoid,4,6,0.00334113170433,0.00315251523192,0.0401483555644,0.0399465026479
ExpLin,Sigmoid,4,8,0.00369270916158,0.00347842316936,0.0428285220914,0.0423740601765
ExpLin,Sigmoid,4,10,0.00278380457796,0.00273828043131,0.0380279111473,0.0380637513214
ExpLin,Sigmoid,4,12,0.00281548811649,0.00270390946228,0.0373019722638,0.0371805308494
ExpLin,Sigmoid,6,4,0.0028351469409,0.00270439766583,0.037899095237,0.0374612405762
ExpLin,Sigmoid,6,6,0.00270228746922,0.00262660958498,0.0367492330329,0.0367481119767
ExpLin,Sigmoid,6,8,0.00177064246222,0.00171913699104,0.0291237489946,0.0290126559975
ExpLin,Sigmoid,6,10,0.00203708727462,0.00191968679744,0.0314336645774,0.0311183828066
ExpLin,Sigmoid,6,12,0.00171444437764,0.00163333278777,0.0282564630457,0.0276489998549
ExpLin,Sigmoid,8,4,0.0028792552188,0.00269031862993,0.0376928885891,0.0371330818517
ExpLin,Sigmoid,8,6,0.00245490337423,0.00235763495841,0.0352445293862,0.034880905354
ExpLin,Sigmoid,8,8,0.00186651035943,0.00182402616609,0.0301194996764,0.0298876942219
ExpLin,Sigmoid,8,10,0.00139192172593,0.00130590113043,0.0248979558231,0.0243547793716
ExpLin,Sigmoid,8,12,0.00110618066171,0.00105688128904,0.0232811572161,0.0229046416871
ExpLin,Tanh,2,4,0.00505780539917,0.00484870953686,0.0501321793963,0.0496357100313
ExpLin,Tanh,2,6,0.00506481635616,0.00485934114127,0.0500930511066,0.0496840752625
ExpLin,Tanh,2,8,0.00506212622164,0.00485125122479,0.0503158184645,0.0497790032502
ExpLin,Tanh,2,10,0.00507077918476,0.00486100561151,0.0502618630397,0.0497652028481
ExpLin,Tanh,2,12,0.00507013075933,0.00486572218792,0.0503293369814,0.0498458522144
ExpLin,Tanh,4,4,0.00278568118369,0.00271774927705,0.0373600251994,0.037236009491
ExpLin,Tanh,4,6,0.0027063144071,0.00251172171602,0.0356543865167,0.0348152944774
ExpLin,Tanh,4,8,0.00266912354386,0.002558783882,0.0356061812176,0.0354995239012
ExpLin,Tanh,4,10,0.00262724161426,0.00253849460494,0.0356060046719,0.0355637324633
ExpLin,Tanh,4,12,0.00267160257735,0.00259765015859,0.0359917295044,0.036026701427
ExpLin,Tanh,6,4,0.00264955429039,0.00249064016268,0.0358234271273,0.0353670393754
ExpLin,Tanh,6,6,0.00148482286807,0.00143927946024,0.0258844966735,0.025453835557
ExpLin,Tanh,6,8,0.00144011894206,0.00136799948206,0.025959207014,0.025327235898
ExpLin,Tanh,6,10,0.00153179024752,0.00146375573563,0.0270064369476,0.0267788677897
ExpLin,Tanh,6,12,0.00148257079154,0.00140105774586,0.0249162811584,0.0243243022203
ExpLin,Tanh,8,4,0.00262095611998,0.00249780085162,0.035088884679,0.0348003761992
ExpLin,Tanh,8,6,0.00143329178822,0.00133990682556,0.0256714095619,0.0250121467494
ExpLin,Tanh,8,8,0.000993478088411,0.000922625284195,0.0212433104547,0.0207744948006
ExpLin,Tanh,8,10,0.000578547785963,0.000515161744241,0.0139300592221,0.0134665952417
ExpLin,Tanh,8,12,0.000517442689479,0.00047021933577,0.0144807946927,0.0144023520363
ExpLin,ExpLin,2,4,0.00506251398964,0.00485285463722,0.0502848474735,0.0497692240578
ExpLin,ExpLin,2,6,0.00508236384694,0.00487367630709,0.0500682663875,0.0496453187026
ExpLin,ExpLin,2,8,0.00509422408137,0.00488824830136,0.050479218206,0.0500132214479
ExpLin,ExpLin,2,10,0.00504386027476,0.00483585688405,0.0501324516722,0.0496464526815
ExpLin,ExpLin,2,12,0.00502214654838,0.00482551212293,0.0500175689474,0.0495128375089
ExpLin,ExpLin,4,4,0.00281746921827,0.00274922713453,0.0378269792849,0.0376851869823
ExpLin,ExpLin,4,6,0.00271479417082,0.00252020572,0.0357067510502,0.0348797452332
ExpLin,ExpLin,4,8,0.00265817432529,0.00254905968066,0.0355764260928,0.0354732737338
ExpLin,ExpLin,4,10,0.00263850725328,0.00254789346235,0.0357921520171,0.0356942470226
ExpLin,ExpLin,4,12,0.0026366272175,0.00255577672446,0.035564011978,0.0355856675645
ExpLin,ExpLin,6,4,0.00266838842173,0.00252646625469,0.0363046695075,0.0359563462647
ExpLin,ExpLin,6,6,0.00149457285792,0.00144443894832,0.0259496012655,0.0255362318119
ExpLin,ExpLin,6,8,0.00144329212653,0.00136956390224,0.0258976691644,0.0252334074341
ExpLin,ExpLin,6,10,0.00142294233363,0.0013088892223,0.024786607986,0.0243342833072
ExpLin,ExpLin,6,12,0.00148921029164,0.00141236237922,0.02553891666,0.0249414489756
ExpLin,ExpLin,8,4,0.00261681176298,0.00249615942289,0.0350773393594,0.0347769034608
ExpLin,ExpLin,8,6,0.00145151328739,0.00136593072957,0.0262618484605,0.0256362368151
ExpLin,ExpLin,8,8,0.00102021841053,0.000963053904583,0.0216685844081,0.0212309638525
ExpLin,ExpLin,8,10,0.000611864437577,0.000550787440247,0.0147206249622,0.0143099482321
ExpLin,ExpLin,8,12,0.000521104372794,0.000472301106696,0.0142985476588,0.0142242075854
